Ref	x	y	Connectivity	Point First Moment	Point Second Moment	Visual Integration [HH]	conn	integ
2424873	-282.1428571	109.7894737	100	3959.2849	207376	2.0914218	2	0.94752198
2424874	-282.1428571	117.2842105	100	3927.9595	202784	2.0914218	2	0.94752198
2424875	-282.1428571	124.7789474	104	4246.9058	225696	2.0930221	2	0.94752198
2424915	-282.1428571	424.5684211	203	21133.67	3262880	3.077714	5	1.3457561
2424916	-282.1428571	432.0631579	208	20210.264	2925824	3.0798798	5	1.3457561
2490388	-274.702381	-47.6	236	19710.395	2245904	2.2538414	3	0.928572
2490389	-274.702381	-40.10526316	235	19508.719	2203456	2.2536092	3	0.928572
2490390	-274.702381	-32.61052632	234	19306.105	2155504	2.2533772	3	0.928572
2490409	-274.702381	109.7894737	101	4041.9026	209744	2.0916216	2	0.94752198
2490410	-274.702381	117.2842105	100	3923.1311	200912	2.0914218	2	0.94752198
2490411	-274.702381	124.7789474	100	3906.7	199552	2.0914218	2	0.94752198
2490412	-274.702381	132.2736842	103	4149.0088	217712	2.0928218	2	0.94752198
2490413	-274.702381	139.7684211	104	4282.2871	228400	2.0930221	2	0.94752198
2490451	-274.702381	424.5684211	200	20855.521	3225632	3.0764158	5	1.3457561
2490452	-274.702381	432.0631579	205	19679.613	2828224	3.0785799	5	1.3457561
2490453	-274.702381	439.5578947	205	18703.951	2491984	3.0785799	5	1.3457561
2555923	-267.2619048	-55.09473684	236	20017.953	2341264	2.2538414	3	0.928572
2555924	-267.2619048	-47.6	235	19776.625	2290560	2.2536092	3	0.928572
2555925	-267.2619048	-40.10526316	234	19544.275	2236464	2.2533772	3	0.928572
2555926	-267.2619048	-32.61052632	227	18499.025	2055632	2.251754	3	0.928572
2555947	-267.2619048	124.7789474	100	3929.3938	200912	2.0914218	2	0.94752198
2555948	-267.2619048	132.2736842	100	3926.6309	202784	2.0914218	2	0.94752198
2555949	-267.2619048	139.7684211	103	4167.2568	221776	2.0928218	2	0.94752198
2555950	-267.2619048	147.2631579	103	4236.3862	229008	2.0928218	2	0.94752198
