Ref	x	y	Connectivity	Point First Moment	Point Second Moment	Visual Integration [HH]	conn	integ
8126554	404	240	206	19870.744	2811392	3.1386325	5	1.3655469
8126555	404	244	198	17403.813	2209616	3.141336	5	1.3655469
8126556	404	248	176	13253.962	1412784	3.0690808	5	1.3655469
8192015	408	-60	98	4449.2002	320928	2.3227413	4	1.067324
8192016	408	-56	131	6306.6763	431584	2.4982927	4	1.067324
8192017	408	-52	138	6899.2515	462048	2.5005765	4	1.067324
8192026	408	-16	87	3165.7788	155088	2.4631412	4	1.254827
8192027	408	-12	109	4578.9692	253888	2.471487	4	1.254827
8192045	408	60	149	7489.6514	532640	2.9812732	7	1.785715
8192046	408	64	172	8222.3203	526560	3.0025446	7	1.785715
8192047	408	68	166	7515.0029	448336	3.0000749	7	1.785715
8192058	408	112	81	2553.3518	108544	2.6209781	9	1.820729
8192059	408	116	90	2972.5405	134464	2.6238065	9	1.820729
8192060	408	120	102	3910.9548	214224	2.6380405	9	1.820729
8192066	408	144	47	860.47986	19472	2.3708067	3	1.4285721
8192067	408	148	46	772.80927	16368	2.3705499	3	1.4285721
8192068	408	152	41	656.68683	13024	2.369523	3	1.4285721
8192090	408	240	207	20452.93	2982160	3.1390827	5	1.3655469
8192091	408	244	200	18018.826	2355328	3.1422381	5	1.3655469
8192092	408	248	181	14269.647	1611008	3.0712345	5	1.3655469
8257551	412	-60	101	4882.0532	353424	2.3232346	4	1.067324
8257552	412	-56	115	5216.5195	341952	2.3234811	4	1.067324
8257553	412	-52	126	5990.7056	389952	2.4968674	4	1.067324
8257562	412	-16	107	4160.6128	215104	2.4734426	4	1.254827
8257563	412	-12	114	5091.4487	301088	2.5683739	4	1.254827
8257580	412	56	136	6285.0967	398384	2.9760025	7	1.785715
8257581	412	60	125	4802.1631	244208	2.9719605	7	1.785715
8257582	412	64	121	4691.8745	241744	2.968735	7	1.785715
8257583	412	68	108	4286.5977	225360	2.9539073	7	1.785715
8257595	412	116	85	2837.6138	130032	2.6222343	9	1.820729
8257596	412	120	98	3620.1401	188032	2.6367691	9	1.820729
8257597	412	124	91	3834.6008	233696	2.6345468	9	1.820729
8257602	412	144	46	854.79102	20016	2.3705499	3	1.4285721
8257603	412	148	46	799.38843	17888	2.3705499	3	1.4285721
8257604	412	152	36	540.98547	10192	2.3677285	3	1.4285721
8257627	412	244	200	18402.281	2480496	3.1386325	5	1.3655469
8257628	412	248	182	14830.598	1748544	3.0716655	5	1.3655469
8323087	416	-60	104	4852.6235	333856	2.3239746	4	1.067324
8323088	416	-56	107	4671.5215	297264	2.3215091	4	1.067324
8323089	416	-52	115	5092.0771	315216	2.4937375	4	1.067324
